"ava","overlaps"
"livermore_valley","san_francisco_bay"
"livermore_valley","santa_clara_valley"
"clear_lake","north_coast"
"clear_lake","red_hills_lake_county"
"clear_lake","upper_lake_valley"
"clear_lake","high_valley"
"clear_lake","kelsey_bench_lake_county"
"clear_lake","long_valley-lake_county"
"petaluma_gap","north_coast"
"petaluma_gap","sonoma_coast"
"petaluma_gap","northern_sonoma"
"petaluma_gap","russian_river_valley"
"petaluma_gap","west_sonoma_coast"
"petaluma_gap","sonoma_valley"
"petaluma_gap","bennett_valley"
"catoctin","cumberland_valley"
"santa_ynez_valley","central_coast"
"santa_ynez_valley","sta__rita_hills"
"santa_ynez_valley","happy_canyon_of_santa_barbara"
"russian_river_valley","sonoma_coast"
"russian_river_valley","northern_sonoma"
"russian_river_valley","petaluma_gap"
"russian_river_valley","west_sonoma_coast"
"russian_river_valley","alexander_valley"
"russian_river_valley","dry_creek_valley"
"russian_river_valley","knights_valley"
"russian_river_valley","fountaingrove_district"
"russian_river_valley","chalk_hill"
"russian_river_valley","green_valley_of_russian_river_valley"
"ancient_lakes_of_columbia_valley","royal_slope"
"royal_slope","ancient_lakes_of_columbia_valley"
"san_antonio_valley","paso_robles"
"san_antonio_valley","monterey"
"swan_creek","yadkin_valley"
"tualatin_hills","willamette_valley"
"tualatin_hills","chehalem_mountains"
"tualatin_hills","yamhill_carlton"
"tualatin_hills","laurelwood_district"
"west_sonoma_coast","north_coast"
"west_sonoma_coast","sonoma_coast"
"west_sonoma_coast","northern_sonoma"
"west_sonoma_coast","petaluma_gap"
"west_sonoma_coast","russian_river_valley"
"west_sonoma_coast","fort_ross_seaview"
"west_sonoma_coast","green_valley_of_russian_river_valley"
"the_hamptons_long_island","long_island"
"gabilan_mountains","san_benito"
"gabilan_mountains","paicines"
"gabilan_mountains","chalone"
"gabilan_mountains","cienega_valley"
"cape_may_peninsula","outer_coastal_plain"
"cayuga_lake","finger_lakes"
"santa_maria_valley","central_coast"
"santa_maria_valley","san_luis_obispo_coast"
"sonoma_valley","north_coast"
"sonoma_valley","sonoma_coast"
"sonoma_valley","napa_valley"
"sonoma_valley","petaluma_gap"
"sonoma_valley","los_carneros"
"sonoma_valley","fountaingrove_district"
"sonoma_valley","moon_mountain_district_sonoma_county"
"sonoma_valley","mt__veeder"
"sonoma_valley","spring_mountain_district"
"sonoma_valley","bennett_valley"
"temecula_valley","south_coast"
"north_fork_of_long_island","long_island"
"mendocino_ridge","sonoma_coast"
"mendocino_ridge","mendocino"
"mendocino_ridge","anderson_valley"
"mendocino_ridge","yorkville_highlands"
"clements_hills","sierra_foothills"
"clements_hills","lodi"
"clements_hills","mokelumne_river"
"clements_hills","borden_ranch"
"clements_hills","jahant"
"mokelumne_river","lodi"
"mokelumne_river","clements_hills"
"mokelumne_river","cosumnes_river"
"mokelumne_river","jahant"
"alexander_valley","sonoma_coast"
"alexander_valley","northern_sonoma"
"alexander_valley","mendocino"
"alexander_valley","russian_river_valley"
"alexander_valley","dry_creek_valley"
"alexander_valley","yorkville_highlands"
"alexander_valley","knights_valley"
"alexander_valley","chalk_hill"
"alexander_valley","pine_mountain_cloverdale_peak"
"dry_creek_valley","sonoma_coast"
"dry_creek_valley","northern_sonoma"
"dry_creek_valley","russian_river_valley"
"dry_creek_valley","alexander_valley"
"dry_creek_valley","rockpile"
"rattlesnake_hills","yakima_valley"
"sloughhouse","lodi"
"sloughhouse","borden_ranch"
"sloughhouse","alta_mesa"
"elkton_oregon","southern_oregon"
"elkton_oregon","umpqua_valley"
"borden_ranch","lodi"
"borden_ranch","clements_hills"
"borden_ranch","sloughhouse"
"borden_ranch","alta_mesa"
"borden_ranch","jahant"
"paso_robles_estrella_district","paso_robles"
"paso_robles_estrella_district","adelaida_district"
"paso_robles_estrella_district","san_juan_creek"
"paso_robles_estrella_district","san_miguel_district"
"paso_robles_estrella_district","paso_robles_geneseo_district"
"chehalem_mountains","tualatin_hills"
"chehalem_mountains","yamhill_carlton"
"chehalem_mountains","laurelwood_district"
"chehalem_mountains","ribbon_ridge"
"paso_robles_highlands_district","central_coast"
"paso_robles_highlands_district","paso_robles"
"paso_robles_highlands_district","creston_district"
"paso_robles_highlands_district","san_juan_creek"
"anderson_valley","mendocino"
"anderson_valley","mendocino_ridge"
"anderson_valley","yorkville_highlands"
"yamhill_carlton","willamette_valley"
"yamhill_carlton","tualatin_hills"
"yamhill_carlton","chehalem_mountains"
"yamhill_carlton","mcminnville"
"yamhill_carlton","dundee_hills"
"yamhill_carlton","ribbon_ridge"
"van_duzer_corridor","eola_amity_hills"
"alta_mesa","sloughhouse"
"alta_mesa","borden_ranch"
"alta_mesa","cosumnes_river"
"alta_mesa","jahant"
"adelaida_district","paso_robles"
"adelaida_district","paso_robles_estrella_district"
"adelaida_district","san_miguel_district"
"adelaida_district","paso_robles_willow_creek_district"
"adelaida_district","york_mountain"
"cosumnes_river","lodi"
"cosumnes_river","mokelumne_river"
"cosumnes_river","alta_mesa"
"cosumnes_river","jahant"
"eagle_foothills","snake_river_valley"
"creston_district","central_coast"
"creston_district","paso_robles"
"creston_district","paso_robles_highlands_district"
"creston_district","el_pomar_district"
"creston_district","paso_robles_geneseo_district"
"san_benito","gabilan_mountains"
"san_benito","paicines"
"san_benito","cienega_valley"
"san_benito","lime_kiln_valley"
"yorkville_highlands","northern_sonoma"
"yorkville_highlands","mendocino"
"yorkville_highlands","mendocino_ridge"
"yorkville_highlands","alexander_valley"
"yorkville_highlands","anderson_valley"
"arroyo_grande_valley","san_luis_obispo_coast"
"arroyo_grande_valley","edna_valley"
"eola_amity_hills","van_duzer_corridor"
"los_carneros","sonoma_coast"
"los_carneros","napa_valley"
"los_carneros","sonoma_valley"
"los_carneros","mt__veeder"
"knights_valley","napa_valley"
"knights_valley","northern_sonoma"
"knights_valley","russian_river_valley"
"knights_valley","alexander_valley"
"knights_valley","fountaingrove_district"
"knights_valley","chalk_hill"
"knights_valley","calistoga"
"fountaingrove_district","sonoma_coast"
"fountaingrove_district","napa_valley"
"fountaingrove_district","northern_sonoma"
"fountaingrove_district","russian_river_valley"
"fountaingrove_district","sonoma_valley"
"fountaingrove_district","knights_valley"
"fountaingrove_district","chalk_hill"
"fountaingrove_district","calistoga"
"fountaingrove_district","spring_mountain_district"
"fountaingrove_district","diamond_mountain_district"
"mcminnville","willamette_valley"
"mcminnville","yamhill_carlton"
"sta__rita_hills","santa_ynez_valley"
"san_lucas","san_bernabe"
"laurelwood_district","tualatin_hills"
"laurelwood_district","chehalem_mountains"
"lake_chelan","columbia_valley"
"arroyo_seco","monterey"
"arroyo_seco","santa_lucia_highlands"
"fort_ross_seaview","west_sonoma_coast"
"red_hills_lake_county","clear_lake"
"red_hills_lake_county","kelsey_bench_lake_county"
"redwood_valley","mendocino"
"redwood_valley","potter_valley"
"redwood_valley","eagle_peak_mendocino_county"
"potter_valley","mendocino"
"potter_valley","redwood_valley"
"lower_long_tom","willamette_valley"
"jahant","clements_hills"
"jahant","mokelumne_river"
"jahant","borden_ranch"
"jahant","alta_mesa"
"jahant","cosumnes_river"
"san_juan_creek","paso_robles"
"san_juan_creek","paso_robles_estrella_district"
"san_juan_creek","paso_robles_highlands_district"
"eagle_peak_mendocino_county","mendocino"
"eagle_peak_mendocino_county","redwood_valley"
"fair_play","sierra_foothills"
"fair_play","el_dorado"
"happy_canyon_of_santa_barbara","central_coast"
"happy_canyon_of_santa_barbara","santa_ynez_valley"
"happy_canyon_of_santa_barbara","los_olivos_district"
"san_bernabe","monterey"
"san_bernabe","san_lucas"
"chalk_hill","sonoma_coast"
"chalk_hill","northern_sonoma"
"chalk_hill","russian_river_valley"
"chalk_hill","alexander_valley"
"chalk_hill","knights_valley"
"chalk_hill","fountaingrove_district"
"los_olivos_district","happy_canyon_of_santa_barbara"
"los_olivos_district","ballard_canyon"
"el_pomar_district","creston_district"
"el_pomar_district","templeton_gap_district"
"el_pomar_district","paso_robles_geneseo_district"
"edna_valley","arroyo_grande_valley"
"santa_lucia_highlands","monterey"
"santa_lucia_highlands","arroyo_seco"
"upper_lake_valley","clear_lake"
"carmel_valley","monterey"
"green_valley_of_russian_river_valley","northern_sonoma"
"green_valley_of_russian_river_valley","russian_river_valley"
"green_valley_of_russian_river_valley","west_sonoma_coast"
"suisun_valley","north_coast"
"suisun_valley","napa_valley"
"suisun_valley","solano_county_green_valley"
"templeton_gap_district","paso_robles"
"templeton_gap_district","el_pomar_district"
"templeton_gap_district","paso_robles_willow_creek_district"
"san_miguel_district","paso_robles"
"san_miguel_district","paso_robles_estrella_district"
"san_miguel_district","adelaida_district"
"paicines","gabilan_mountains"
"paicines","san_benito"
"moon_mountain_district_sonoma_county","napa_valley"
"moon_mountain_district_sonoma_county","sonoma_valley"
"moon_mountain_district_sonoma_county","mt__veeder"
"santa_margarita_ranch","central_coast"
"santa_margarita_ranch","paso_robles"
"paso_robles_geneseo_district","paso_robles_estrella_district"
"paso_robles_geneseo_district","creston_district"
"paso_robles_geneseo_district","el_pomar_district"
"solano_county_green_valley","north_coast"
"solano_county_green_valley","san_francisco_bay"
"solano_county_green_valley","napa_valley"
"solano_county_green_valley","suisun_valley"
"solano_county_green_valley","wild_horse_valley"
"mt__veeder","napa_valley"
"mt__veeder","sonoma_valley"
"mt__veeder","los_carneros"
"mt__veeder","moon_mountain_district_sonoma_county"
"mt__veeder","oak_knoll_district_of_napa_valley"
"mt__veeder","yountville"
"paso_robles_willow_creek_district","paso_robles"
"paso_robles_willow_creek_district","adelaida_district"
"paso_robles_willow_creek_district","templeton_gap_district"
"paso_robles_willow_creek_district","york_mountain"
"high_valley","clear_lake"
"high_valley","long_valley-lake_county"
"augusta","ozark_mountain"
"rockpile","northern_sonoma"
"rockpile","dry_creek_valley"
"california_shenandoah_valley","el_dorado"
"california_shenandoah_valley","fiddletown"
"calistoga","napa_valley"
"calistoga","northern_sonoma"
"calistoga","knights_valley"
"calistoga","fountaingrove_district"
"calistoga","st__helena"
"calistoga","diamond_mountain_district"
"dundee_hills","yamhill_carlton"
"hames_valley","monterey"
"fiddletown","california_shenandoah_valley"
"coombsville","oak_knoll_district_of_napa_valley"
"coombsville","wild_horse_valley"
"big_valley_district_lake_county","kelsey_bench_lake_county"
"oak_knoll_district_of_napa_valley","mt__veeder"
"oak_knoll_district_of_napa_valley","coombsville"
"oak_knoll_district_of_napa_valley","yountville"
"st__helena","calistoga"
"st__helena","spring_mountain_district"
"st__helena","rutherford"
"kelsey_bench_lake_county","clear_lake"
"kelsey_bench_lake_county","red_hills_lake_county"
"kelsey_bench_lake_county","big_valley_district_lake_county"
"chalone","gabilan_mountains"
"spring_mountain_district","napa_valley"
"spring_mountain_district","sonoma_valley"
"spring_mountain_district","fountaingrove_district"
"spring_mountain_district","st__helena"
"spring_mountain_district","diamond_mountain_district"
"yountville","mt__veeder"
"yountville","oak_knoll_district_of_napa_valley"
"yountville","oakville"
"yountville","stags_leap_district"
"bennett_valley","sonoma_coast"
"bennett_valley","petaluma_gap"
"bennett_valley","sonoma_valley"
"bennett_valley","sonoma_mountain"
"goose_gap","yakima_valley"
"goose_gap","red_mountain"
"goose_gap","candy_mountain"
"ballard_canyon","los_olivos_district"
"long_valley-lake_county","clear_lake"
"long_valley-lake_county","high_valley"
"rutherford","st__helena"
"rutherford","oakville"
"cienega_valley","gabilan_mountains"
"cienega_valley","san_benito"
"cienega_valley","lime_kiln_valley"
"oakville","yountville"
"oakville","rutherford"
"york_mountain","paso_robles"
"york_mountain","san_luis_obispo_coast"
"york_mountain","adelaida_district"
"york_mountain","paso_robles_willow_creek_district"
"sonoma_mountain","bennett_valley"
"red_hill_douglas_county__oregon","southern_oregon"
"diamond_mountain_district","napa_valley"
"diamond_mountain_district","fountaingrove_district"
"diamond_mountain_district","calistoga"
"diamond_mountain_district","spring_mountain_district"
"pine_mountain_cloverdale_peak","northern_sonoma"
"pine_mountain_cloverdale_peak","mendocino"
"pine_mountain_cloverdale_peak","alexander_valley"
"red_mountain","yakima_valley"
"red_mountain","goose_gap"
"wild_horse_valley","napa_valley"
"wild_horse_valley","solano_county_green_valley"
"wild_horse_valley","coombsville"
"ribbon_ridge","chehalem_mountains"
"ribbon_ridge","yamhill_carlton"
"stags_leap_district","yountville"
"pacheco_pass","san_francisco_bay"
"san_ysidro_district","santa_clara_valley"
"lime_kiln_valley","san_benito"
"lime_kiln_valley","cienega_valley"
"mcdowell_valley","mendocino"
"saddle_rock_malibu","malibu_newton_canyon"
"malibu_newton_canyon","saddle_rock_malibu"
"candy_mountain","yakima_valley"
"candy_mountain","goose_gap"
"cole_ranch","mendocino"
